PORADI;ID_NALEZ;DRUH;CESKE_JMENO;KAT_TAX;AUTOR;DATUM_OD;DATUM_DO;CAS;ID_LOKAL;NAZ_LOKAL;SITMAP;KATASTR;X;Y;ZDROJ;NEGATIV;POCET;ODHAD;POCITANO;REL_POC;POKRYVN;PATROVITOST;KODHN;ETOLOGIE;KOMPLETNI_SEZNAM;POZNAMKA;UMIST_NAL;POP_BIOT;TAX_POZN;PROJEKT;DAT_SADA;ZAPSAL;VEROH;VALIDACE;VAL_POZN;GARANCE;GAR_POZN;VYHLASKA;EVD;REDLIST;STRUKT_POZN;CXLOKAL_POZN;CXLOKAL_Z;CXPRESNOST;DATI_INSERT;DATI_UPDATE;UPDATOR
218;61836221;Solidago gigantea;zlatobıl obrovskı;Cévnaté rostliny;Ohryzková Lucie;20240812;20240812;;10827130;Valašská Bystøice;6674;Valašská Bystøice;-486017.39;-1151019.55;OHRYZKOVÁ L. (2024) Mapování invazních rostlin.;0;3;0;jedinci;ojedinìle;;;;;0;;;Vektor šíøení: silnice;;OP InvazMap: Mapování invazních druhù;Monitoring druhù ÈR;Ohryzková Lucie;1;;;Garantováno;;;;;Plocha populace: 2, Management: bez managementu;bot_inv-1018727;;1;20250227
219;61835559;Solidago canadensis;zlatobıl kanadskı;Cévnaté rostliny;Ohryzková Lucie;20240930;20240930;;10825908;Malá Bystøice;6674;Malá Bystøice;-490788.88;-1150331.45;OHRYZKOVÁ L. (2024) Mapování invazních rostlin.;0;1;0;jedinci;ojedinìle;;;;;0;;;Vektor šíøení: lidská èinnost;;OP InvazMap: Mapování invazních druhù;Monitoring druhù ÈR;Ohryzková Lucie;1;;;Garantováno;;;;;Plocha populace: ,1, Management: bez managementu;bot_inv-1014004;;1;20250227
220;61835386;Solidago gigantea;zlatobıl obrovskı;Cévnaté rostliny;Ohryzková Lucie;20241003;20241003;;10830571;Prostøední Beèva;6575;Prostøední Beèva;-478125.25;-1144902.68;OHRYZKOVÁ L. (2024) Mapování invazních rostlin.;0;;0;jedinci;hojnì;;;;;0;;;Vektor šíøení: lidská èinnost;;OP InvazMap: Mapování invazních druhù;Monitoring druhù ÈR;Ohryzková Lucie;1;;;Garantováno;;;;;Plocha populace: 10, Management: bez managementu;bot_inv-1014909;;1;20250227
221;61835188;Solidago canadensis;zlatobıl kanadskı;Cévnaté rostliny;Ohryzková Lucie;20240828;20240828;;10828047;Vyšní Lhoty;6376;Vyšní Lhoty;-458233.76;-1126992.1;OHRYZKOVÁ L. (2024) Mapování invazních rostlin.;0;;0;jedinci;roztroušenì;;;;;0;;;Vektor šíøení: vodní tok;;OP InvazMap: Mapování invazních druhù;Monitoring druhù ÈR;Ohryzková Lucie;1;;;Garantováno;;;;;Plocha populace: 20, Management: bez managementu;bot_inv-1006585;;1;20250227
222;61835044;Solidago canadensis;zlatobıl kanadskı;Cévnaté rostliny;Ohryzková Lucie;20240827;20240827;;10831503;Krásná pod Lysou Horou;6476;Krásná pod Lysou Horou;-458785.12;-1130859.19;OHRYZKOVÁ L. (2024) Mapování invazních rostlin.;0;;0;jedinci;hojnì;;;;;0;;;Vektor šíøení: lidská èinnost;;OP InvazMap: Mapování invazních druhù;Monitoring druhù ÈR;Ohryzková Lucie;1;;;Garantováno;;;;;Plocha populace: 25, Management: bez managementu;bot_inv-1006373;;1;20250227
223;61835035;Solidago canadensis;zlatobıl kanadskı;Cévnaté rostliny;Ohryzková Lucie;20240910;20240910;;10821976;Trojanovice;6475;Trojanovice;-480303.96;-1133696.8;OHRYZKOVÁ L. (2024) Mapování invazních rostlin.;0;1;0;jedinci;ojedinìle;;;;;0;;;Vektor šíøení: silnice;;OP InvazMap: Mapování invazních druhù;Monitoring druhù ÈR;Ohryzková Lucie;1;;;Garantováno;;;;;Plocha populace: ,1, Management: bez managementu;bot_inv-1009889;;1;20250227
224;61834898;Solidago canadensis;zlatobıl kanadskı;Cévnaté rostliny;Ohryzková Lucie;20240828;20240828;;10828964;Vyšní Lhoty;6376;Vyšní Lhoty;-458469.2;-1126325.82;OHRYZKOVÁ L. (2024) Mapování invazních rostlin.;0;;0;jedinci;roztroušenì;;;;;0;;;Vektor šíøení: vodní tok;;OP InvazMap: Mapování invazních druhù;Monitoring druhù ÈR;Ohryzková Lucie;1;;;Garantováno;;;;;Plocha populace: 50, Management: bez managementu;bot_inv-1006570;;1;20250227
225;61834893;Solidago canadensis;zlatobıl kanadskı;Cévnaté rostliny;Ohryzková Lucie;20240822;20240822;;10836076;Karolinka;6675;Karolinka;-477867.81;-1153972.82;OHRYZKOVÁ L. (2024) Mapování invazních rostlin.;0;1;0;jedinci;ojedinìle;;;;;0;;;Vektor šíøení: lidská èinnost;;OP InvazMap: Mapování invazních druhù;Monitoring druhù ÈR;Ohryzková Lucie;1;;;Garantováno;;;;;Plocha populace: ,5, Management: bez managementu;bot_inv-1005516;;1;20250227
226;61834870;Solidago canadensis;zlatobıl kanadskı;Cévnaté rostliny;Ohryzková Lucie;20240828;20240828;;10831731;Morávka;6377;Morávka;-456538;-1128262.12;OHRYZKOVÁ L. (2024) Mapování invazních rostlin.;0;;0;jedinci;roztroušenì;;;;;0;;;Vektor šíøení: vodní tok;;OP InvazMap: Mapování invazních druhù;Monitoring druhù ÈR;Ohryzková Lucie;1;;;Garantováno;;;;;Plocha populace: 100, Management: bez managementu;bot_inv-1006457;;1;20250227
227;61834826;Solidago canadensis;zlatobıl kanadskı;Cévnaté rostliny;Ohryzková Lucie;20241008;20241008;;10824445;Horní Beèva;6575;Horní Beèva;-474122.74;-1146565.35;OHRYZKOVÁ L. (2024) Mapování invazních rostlin.;0;;0;jedinci;roztroušenì;;;;;0;;;Vektor šíøení: zahradní èinnost;;OP InvazMap: Mapování invazních druhù;Monitoring druhù ÈR;Ohryzková Lucie;1;;;Garantováno;;;;;Plocha populace: 20, Management: bez managementu;bot_inv-1015699;;1;20250227
